Participant,placement_distance,placement_cr,seen_when_cr,list_no,stimuli_no,response_not_seen,response_seen,seen_when_never,seen_when_one_week,seen_when_two_weeks,seen_when_yesterday,relevance_nr,relevance_r,old_new_memo,old_new_new,old_new_old,catego_h,catego_o,encoding_no_e1,encoding_no_e2,encoding_no_e3
10,222.2831,23,37,2,11,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False
10,1118.311,100,100,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,543.8705,4,46,6,15,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False
10,754.4911,78,78,2,11,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
10,745.0938,32,21,8,16,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
10,1268.135,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,0.9522193,78,82,7,1,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True
10,1113.542,67,74,8,14,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
10,348.2472,18,35,5,7,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False
10,1189.011,57,64,7,13,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False
10,822.6772,35,53,7,12,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False
10,1132.616,80,78,1,14,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
10,855.5923,59,62,4,12,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
10,1124.27,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,319.9533,19,56,6,10,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
10,112.9155,34,18,3,1,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False
10,1183.331,88,88,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,1215.376,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,1167.024,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,191.178,24,26,5,4,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True
10,1074.487,37,40,6,7,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
10,680.8145,61,63,2,8,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
10,1212.453,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,222.0901,14,33,4,10,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False
10,814.2143,56,58,1,16,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
10,704.0809,11,40,5,9,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
10,1360.326,72,73,1,5,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
10,1126.095,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,947.1715,38,59,3,16,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
10,1372.147,73,68,3,6,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
10,655.4841,4,30,4,9,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
10,1172.768,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,1171.437,100,100,2,8,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
10,201.8738,34,41,4,3,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True
10,1341.319,74,79,8,5,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
10,483.1828,31,41,7,5,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
10,447.7097,35,41,3,6,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
10,1105.582,87,94,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,1113.964,59,62,8,14,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False
10,1289.253,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,498.8047,54,62,6,2,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False
10,1150.451,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,755.8794,68,65,1,12,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
10,1287.654,63,43,3,8,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False
10,615.2648,25,39,4,3,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
10,346.7522,57,66,6,4,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
10,383.4878,36,58,1,3,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False
10,1175.832,81,79,2,1,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
10,1379.595,68,70,8,6,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False
10,1155.164,100,100,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,469.1588,65,75,5,7,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
10,284.2319,44,61,6,13,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
10,1180.8,62,65,3,9,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True
10,1286.412,100,100,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,4.058275,94,100,7,15,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
10,626.2868,7,44,2,2,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
10,630.5327,73,78,5,15,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False
10,306.954,28,21,1,4,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
10,1438.375,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,3.480783,85,100,7,10,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True
10,1014.9,42,60,5,2,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False
10,283.9316,60,68,4,11,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False
10,333.7062,34,36,8,13,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True
10,1240.271,80,83,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1896.116,61,57,2,11,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False
11,1159.507,100,100,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,649.5275,29,28,6,15,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
11,922.465,16,23,2,11,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True
11,1316.693,29,50,8,16,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True
11,1396.553,99,99,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,493.456,72,75,7,1,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True
11,333.1209,31,40,8,14,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
11,1296.923,24,40,5,7,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
11,1526.25,57,58,7,13,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False
11,1743.26,69,79,7,12,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False
11,1566.417,76,80,1,14,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
11,613.2049,63,67,4,12,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
11,1435.742,90,95,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,574.1632,23,52,6,10,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
11,496.6112,7,50,3,1,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False
11,1261.494,50,50,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1172.005,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1140.733,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,593.0095,37,61,5,4,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True
11,1419.978,29,29,6,7,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
11,179.0648,67,89,2,8,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
11,1132.03,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,809.0555,17,18,4,10,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False
11,991.4003,8,50,1,16,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False
11,1704.25,30,38,5,9,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False
11,395.3638,23,60,1,5,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True
11,1213.937,90,90,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,610.0424,20,20,3,16,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
11,1582.513,63,71,3,6,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
11,215.4926,15,15,4,9,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
11,1437.733,95,95,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1736.096,65,65,2,8,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
11,1494.143,0,10,4,3,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True
11,270.2681,21,50,8,5,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False
11,416.634,50,96,7,5,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
11,645.4445,27,94,3,6,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
11,1429.47,61,64,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,145.2005,13,21,8,14,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
11,1308.335,50,50,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,37.59549,35,40,6,2,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False
11,1550.892,100,100,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1795.446,63,65,1,12,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
11,399.4149,29,62,3,8,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
11,229.359,50,93,4,3,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
11,570.4939,60,80,6,4,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
11,190.2598,40,70,1,3,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
11,1422.961,40,30,2,1,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
11,385.8129,20,10,8,6,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False
11,1126.617,100,100,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,333.5225,30,50,5,7,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True
11,1497.583,60,60,6,13,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False
11,139.3859,20,50,3,9,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True
11,1602.158,85,85,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,1793.231,15,15,7,15,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True
11,613.1005,10,40,2,2,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True
11,164.4122,45,80,5,15,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
11,1442.425,20,20,1,4,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False
11,1101.563,60,60,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,990.5012,35,35,7,10,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
11,321.683,50,70,5,2,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False
11,1760.938,55,55,4,11,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
11,1236.561,60,60,8,13,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True
11,249.6534,45,75,,13,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
12,299.2024,50,24,2,14,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False
12,1083.365,78,80,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,1044.828,41,40,6,1,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
12,776.8696,14,20,2,15,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
12,144.6875,40,31,8,4,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True
12,1178.88,41,38,,11,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,78.14272,50,75,7,3,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False
12,1106.037,61,60,8,5,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
12,114.9658,20,25,5,10,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
12,1456.895,55,55,7,7,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
12,439.2418,60,50,7,4,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False
12,1104.523,67,67,1,8,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
12,206.4561,70,62,4,9,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True
12,1056.977,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,240.2535,8,41,6,7,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
12,1255.529,91,88,3,6,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
12,1191.924,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,926.354,79,80,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,911.1273,85,86,,13,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,612.6198,49,62,5,5,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False
12,917.2256,73,31,6,6,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False
12,335.8362,41,71,2,13,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True
12,994.127,100,100,,12,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
12,394.8019,42,41,4,8,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
12,872.8201,54,54,1,14,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
12,414.8551,45,34,5,8,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
12,802.0671,45,24,1,15,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
12,927.6323,100,100,,14,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
